,hazard,total_geoid_not_null_records,total_geoid_records,geoid_records_percentage,total_property_damage_geoid_not_null,total_property_damage,property_damage_records_percentage
0,wind,297747,540993,55.04,9642518380,25853100305,37.30
1,wildfire,0,0,0,0,0,0
2,tsunami,0,0,0,0,0,0
3,tornado,33634,77113,43.62,31027475410,64952370168,47.77
4,riverine,68651,135978,50.49,82065648710,144787983960,56.68
5,lightning,6587,16344,40.30,460645700,916502100,50.26
6,landslide,456,1440,31.67,105288600,1057798700,9.95
7,icestorm,0,0,0,0,0,0
8,hurricane,192,10910,1.76,62750000,162692534875,0.04
9,heatwave,0,0,0,0,0,0
10,hail,265314,357239,74.27,25480995700,29405456192,86.65
11,earthquake,0,0,0,0,0,0
12,drought,0,0,0,0,0,0
13,avalanche,0,0,0,0,0,0
14,coldwave,0,0,0,0,0,0
15,winterweat,0,0,0,0,0,0
16,volcano,0,0,0,0,0,0
17,coastal,0,0,0,0,0,0
